"model","region","code","family","genus","species","parameter","estimate"
"DBH","CA-ON","POPU.GRA","Salicaceae","Populus","grandidentata","bbark2",2.224
"DBH","CA-ON","POPU.GRA","Salicaceae","Populus","grandidentata","bbranches1",0.0047
"DBH","CA-ON","POPU.GRA","Salicaceae","Populus","grandidentata","bbranches2",2.653
"DBH","CA-ON","POPU.GRA","Salicaceae","Populus","grandidentata","bfoliage1",0.008
"DBH","CA-ON","POPU.GRA","Salicaceae","Populus","grandidentata","bfoliage2",2.0149
"DBH","CA-AB, CA-YT","PINU.CON","Pinaceae","Pinus","contorta","bwood1",0.0475
"DBH","CA-AB, CA-YT","PINU.CON","Pinaceae","Pinus","contorta","bwood2",2.5437
"DBH","CA-AB, CA-YT","PINU.CON","Pinaceae","Pinus","contorta","bbark1",0.0186
"DBH","CA-AB, CA-YT","PINU.CON","Pinaceae","Pinus","contorta","bbark2",2.0807
"DBH","CA-AB, CA-YT","PINU.CON","Pinaceae","Pinus","contorta","bbranches1",0.0198
"DBH","CA-AB, CA-YT","PINU.CON","Pinaceae","Pinus","contorta","bbranches2",2.1287
"DBH","CA-AB, CA-YT","PINU.CON","Pinaceae","Pinus","contorta","bfoliage1",0.0432
"DBH","CA-AB, CA-YT","PINU.CON","Pinaceae","Pinus","contorta","bfoliage2",1.7166
"DBH","CA-ON","FRAX.PEN","Oleaceae","Fraxinus","pennsylvanica","bwood1",0.1571
"DBH","CA-ON","FRAX.PEN","Oleaceae","Fraxinus","pennsylvanica","bwood2",2.1817
"DBH","CA-ON","FRAX.PEN","Oleaceae","Fraxinus","pennsylvanica","bbark1",0.0416
"DBH","CA-ON","FRAX.PEN","Oleaceae","Fraxinus","pennsylvanica","bbark2",2.0509
"DBH","CA-ON","FRAX.PEN","Oleaceae","Fraxinus","pennsylvanica","bbranches1",0.0177
"DBH","CA-ON","FRAX.PEN","Oleaceae","Fraxinus","pennsylvanica","bbranches2",2.337
"DBH","CA-ON","FRAX.PEN","Oleaceae","Fraxinus","pennsylvanica","bfoliage1",0.1041
"DBH","CA-ON","FRAX.PEN","Oleaceae","Fraxinus","pennsylvanica","bfoliage2",1.2185
"DBH","CA-NS, CA-ON, CA-QC","ACER.RUB","Sapindaceae","Acer","rubra","bwood1",0.1014
"DBH","CA-NS, CA-ON, CA-QC","ACER.RUB","Sapindaceae","Acer","rubra","bwood2",2.3448
"DBH","CA-NS, CA-ON, CA-QC","ACER.RUB","Sapindaceae","Acer","rubra","bbark1",0.0291
"DBH","CA-NS, CA-ON, CA-QC","ACER.RUB","Sapindaceae","Acer","rubra","bbark2",2.0893
"DBH","CA-NS, CA-ON, CA-QC","ACER.RUB","Sapindaceae","Acer","rubra","bbranches1",0.0175
"DBH","CA-NS, CA-ON, CA-QC","ACER.RUB","Sapindaceae","Acer","rubra","bbranches2",2.4846
"DBH","CA-NS, CA-ON, CA-QC","ACER.RUB","Sapindaceae","Acer","rubra","bfoliage1",0.0515
"DBH","CA-NS, CA-ON, CA-QC","ACER.RUB","Sapindaceae","Acer","rubra","bfoliage2",1.1598
"DBH","CA-ON","QUER.RUB","Fagaceae","Quercus","rubra","bwood1",0.1754
