"genus","species","allo_var","family","a","b","cf","name","region"
"Laurus","azorica","bt","Lauraceae",-1.92595,2.49131,1.01641619477186,"Santa Cruz de Tenerife","ES-TF"
"Laurus","azorica","bblt2","Lauraceae",-2.2519,2.09193,1.06933928467734,"Santa Cruz de Tenerife","ES-TF"
"Laurus","azorica","bbgt7","Lauraceae",-3.98432,2.54256,1.33306477087776,"Santa Cruz de Tenerife","ES-TF"
"Laurus","azorica","bs","Lauraceae",-2.96854,2.57608,1.02493242581243,"Santa Cruz de Tenerife","ES-TF"
"Laurus","azorica","bbgt2lt7","Lauraceae",-2.4357,2.91438,1.07289530141633,"Santa Cruz de Tenerife","ES-TF"
"Myrica","faya","bs","Myricaceae",-1.67388,2.02138,1.05839951980603,"Santa Cruz de Tenerife","ES-TF"
"Myrica","faya","bblt2","Myricaceae",-1.66978,2.8878,1.03857019731653,"Santa Cruz de Tenerife","ES-TF"
"Myrica","faya","bbgt2lt7","Myricaceae",-4.0517,2.44571,1.11373164443931,"Santa Cruz de Tenerife","ES-TF"
"Myrica","faya","bbgt7","Myricaceae",-6.67499,2.49039,1.07446042465035,"Santa Cruz de Tenerife","ES-TF"
"Myrica","faya","bt","Myricaceae",-1.17881,2.18018,1.02195660637252,"Santa Cruz de Tenerife","ES-TF"
"Olea","europaea","bs","Oleaceae",-1.0421,2.60779,1.05135498611037,"Cádiz","ES-CA"
"Olea","europaea","br","Oleaceae",-2.33764,2.11152,1.05994271240441,"Cádiz","ES-CA"
"Olea","europaea","bblt2","Oleaceae",-1.56349,2.53326,1.06813901960037,"Cádiz","ES-CA"
"Olea","europaea","bbgt7","Oleaceae",-4.65302,2.68734,1.19981681911963,"Cádiz","ES-CA"
"Olea","europaea","bt","Oleaceae",-0.943709,2.94124,1.03007640330653,"Cádiz","ES-CA"
"Olea","europaea","bbgt2lt7","Oleaceae",-1.43802,2.59553,1.10223868533902,"Cádiz","ES-CA"
"Olea","europaea","bf","Oleaceae",-3.52781,2.53326,1.06813901960037,"Cádiz","ES-CA"
"Pinus","canariensis","bbgt7","Pinaceae",-11.6241,2.28166,1.37834321242743,"Santa Cruz de Tenerife","ES-TF"
"Pinus","canariensis","bt","Pinaceae",-3.04507,2.66892,1.01009043869269,"Santa Cruz de Tenerife","ES-TF"
"Pinus","canariensis","bbgt2lt7","Pinaceae",-6.09929,2.72894,1.13816272350316,"Santa Cruz de Tenerife","ES-TF"
"Pinus","canariensis","bs","Pinaceae",-3.05487,2.59425,1.00963516983441,"Santa Cruz de Tenerife","ES-TF"
"Pinus","canariensis","br","Pinaceae",-4.61516,2.72887,1.04557060225323,"Santa Cruz de Tenerife","ES-TF"
"Pinus","canariensis","bblt2","Pinaceae",-5.07419,2.59996,1.16888065670363,"Santa Cruz de Tenerife","ES-TF"
"Pinus","halepensis","bbgt7","Pinaceae",-9.55046,2.61115,1.53478294796614,"Albacete","ES-AB"
"Pinus","halepensis","bbgt2lt7","Pinaceae",-4.72651,2.33462,1.08881021060401,"Albacete","ES-AB"
"Pinus","halepensis","bs","Pinaceae",-2.51839,2.13609,1.02711606053122,"Albacete","ES-AB"
"Pinus","halepensis","bt","Pinaceae",-2.0939,2.20988,1.01156323312622,"Albacete","ES-AB"
"Pinus","halepensis","br","Pinaceae",-3.68133,2.29823,1.1293506807926,"Albacete","ES-AB"
"Pinus","halepensis","bblt2","Pinaceae",-2.74498,2.03748,1.02592882976775,"Albacete","ES-AB"
"Pinus","nigra","bs","Pinaceae",-3.14006,2.4975,1.012207931594,"Guadalajara","ES-GU"
"Pinus","nigra","bt","Pinaceae",-2.7773,2.51564,1.00907475872831,"Guadalajara","ES-GU"
"Pinus","nigra","bbgt7","Pinaceae",-13.8099,2.63179,1.58260721003665,"Guadalajara","ES-GU"
"Pinus","nigra","bbgt2lt7","Pinaceae",-6.62495,2.92521,1.14889151676893,"Guadalajara","ES-GU"
"Pinus","nigra","bblt2","Pinaceae",-2.83503,2.04538,1.02246957160653,"Guadalajara","ES-GU"
"Pinus","nigra","br","Pinaceae",-3.76193,2.38784,1.01619338238793,"Guadalajara","ES-GU"
"Pinus","pinaster","bblt2","Pinaceae",-4.66658,2.38009,1.14931499409481,"Ciudad Real","ES-CR"
"Pinus","pinaster","bblt2","Pinaceae",-4.66658,2.38009,1.14931499409481,"Guadalajara","ES-GU"
"Pinus","pinaster","bs","Pinaceae",-3.43957,2.56636,1.01852340757834,"Ciudad Real","ES-CR"
"Pinus","pinaster","bs","Pinaceae",-3.43957,2.56636,1.01852340757834,"Guadalajara","ES-GU"
"Pinus","pinaster","br","Pinaceae",-3.85184,2.37592,1.01291876070429,"Ciudad Real","ES-CR"
"Pinus","pinaster","br","Pinaceae",-3.85184,2.37592,1.01291876070429,"Guadalajara","ES-GU"
"Pinus","pinaster","bbgt7","Pinaceae",-23.0418,2.52359,1.05398659523454,"Ciudad Real","ES-CR"
"Pinus","pinaster","bbgt7","Pinaceae",-23.0418,2.52359,1.05398659523454,"Guadalajara","ES-GU"
"Pinus","pinaster","bbgt2lt7","Pinaceae",-6.66264,2.63946,1.3192795328775,"Ciudad Real","ES-CR"
"Pinus","pinaster","bbgt2lt7","Pinaceae",-6.66264,2.63946,1.3192795328775,"Guadalajara","ES-GU"
"Pinus","pinaster","bt","Pinaceae",-3.00347,2.49641,1.01516337846006,"Ciudad Real","ES-CR"
"Pinus","pinaster","bt","Pinaceae",-3.00347,2.49641,1.01516337846006,"Guadalajara","ES-GU"
"Pinus","pinea","bf","Pinaceae",-4.03904,2.15862,1.04616667459102,"Valladolid","ES-VA"
"Pinus","pinea","bf","Pinaceae",-4.03904,2.15862,1.04616667459102,"Huelva","ES-HU"
"Pinus","pinea","bf","Pinaceae",-4.03904,2.15862,1.04616667459102,"Huelva","ES-H"
"Pinus","pinea","bbgt2lt7","Pinaceae",-4.18552,2.39692,1.12400121020077,"Valladolid","ES-VA"
"Pinus","pinea","bbgt2lt7","Pinaceae",-4.18552,2.39692,1.12400121020077,"Huelva","ES-HU"
"Pinus","pinea","bbgt2lt7","Pinaceae",-4.18552,2.39692,1.12400121020077,"Huelva","ES-H"
"Pinus","pinea","br","Pinaceae",-4.01758,2.47024,1.01940824875384,"Valladolid","ES-VA"
"Pinus","pinea","br","Pinaceae",-4.01758,2.47024,1.01940824875384,"Huelva","ES-HU"
"Pinus","pinea","br","Pinaceae",-4.01758,2.47024,1.01940824875384,"Huelva","ES-H"
"Pinus","pinea","bs","Pinaceae",-3.36491,2.52494,1.02012815793774,"Valladolid","ES-VA"
"Pinus","pinea","bs","Pinaceae",-3.36491,2.52494,1.02012815793774,"Huelva","ES-HU"
"Pinus","pinea","bs","Pinaceae",-3.36491,2.52494,1.02012815793774,"Huelva","ES-H"
"Pinus","pinea","bbgt7","Pinaceae",-4.33663,2.59988,1.15529453088648,"Valladolid","ES-VA"
"Pinus","pinea","bbgt7","Pinaceae",-4.33663,2.59988,1.15529453088648,"Huelva","ES-HU"
"Pinus","pinea","bbgt7","Pinaceae",-4.33663,2.59988,1.15529453088648,"Huelva","ES-H"
"Pinus","pinea","bt","Pinaceae",-2.18117,2.42414,1.03569671036859,"Valladolid","ES-VA"
"Pinus","pinea","bt","Pinaceae",-2.18117,2.42414,1.03569671036859,"Huelva","ES-HU"
"Pinus","pinea","bt","Pinaceae",-2.18117,2.42414,1.03569671036859,"Huelva","ES-H"
"Pinus","pinea","bblt2","Pinaceae",-2.55308,2.93944,1.12318322598755,"Valladolid","ES-VA"
"Pinus","pinea","bblt2","Pinaceae",-2.55308,2.93944,1.12318322598755,"Huelva","ES-HU"
"Pinus","pinea","bblt2","Pinaceae",-2.55308,2.93944,1.12318322598755,"Huelva","ES-H"
"Pinus","radiata","br","Pinaceae",-2.78485,2.14449,1.04907491654201,"Lugo","ES-GA"
