"model","region","code","family","genus","species","parameter","estimate"
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","UNKN.SWD",NA,NA,NA,"bfoliage2",1.6106
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","UNKN.SPP",NA,NA,NA,"bwood1",0.0741
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","UNKN.SPP",NA,NA,NA,"bwood2",2.3875
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","UNKN.SPP",NA,NA,NA,"bbark1",0.0182
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","UNKN.SPP",NA,NA,NA,"bbark2",2.2181
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","UNKN.SPP",NA,NA,NA,"bbranches1",0.0227
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","UNKN.SPP",NA,NA,NA,"bbranches2",2.2797
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","UNKN.SPP",NA,NA,NA,"bfoliage1",0.0764
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","UNKN.SPP",NA,NA,NA,"bfoliage2",1.5861
"DBHHT","CA-AB, CA-BC","ABIE.LAS","Pinaceae","Abies","lasiocarpa","bwood1",0.022
"DBHHT","CA-AB, CA-BC","ABIE.LAS","Pinaceae","Abies","lasiocarpa","bwood2",1.6469
"DBHHT","CA-AB, CA-BC","ABIE.LAS","Pinaceae","Abies","lasiocarpa","bwood3",1.1714
"DBHHT","CA-AB, CA-BC","ABIE.LAS","Pinaceae","Abies","lasiocarpa","bbark1",0.0061
"DBHHT","CA-AB, CA-BC","ABIE.LAS","Pinaceae","Abies","lasiocarpa","bbark2",1.8603
"DBHHT","CA-AB, CA-BC","ABIE.LAS","Pinaceae","Abies","lasiocarpa","bbark3",0.7693
"DBHHT","CA-AB, CA-BC","ABIE.LAS","Pinaceae","Abies","lasiocarpa","bbranches1",0.0265
"DBHHT","CA-AB, CA-BC","ABIE.LAS","Pinaceae","Abies","lasiocarpa","bbranches2",3.6747
"DBHHT","CA-AB, CA-BC","ABIE.LAS","Pinaceae","Abies","lasiocarpa","bbranches3",-1.5958
"DBHHT","CA-AB, CA-BC","ABIE.LAS","Pinaceae","Abies","lasiocarpa","bfoliage1",0.0509
"DBHHT","CA-AB, CA-BC","ABIE.LAS","Pinaceae","Abies","lasiocarpa","bfoliage2",2.9909
"DBHHT","CA-AB, CA-BC","ABIE.LAS","Pinaceae","Abies","lasiocarpa","bfoliage3",-1.2271
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bwood1",0.0335
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bwood2",1.7389
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bwood3",0.9835
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bbark1",0.0132
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bbark2",1.7657
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bbark3",0.5775
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bbranches1",0.0405
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bbranches2",3.1917
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bbranches3",-1.3674
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bfoliage1",0.2078
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bfoliage2",2.5517
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bfoliage3",-1.3453
"DBHHT","CA-AB, CA-BC","PINU.CON","Pinaceae","Pinus","contorta","bwood1",0.0239
"DBHHT","CA-AB, CA-BC","PINU.CON","Pinaceae","Pinus","contorta","bwood2",1.6827
"DBHHT","CA-AB, CA-BC","PINU.CON","Pinaceae","Pinus","contorta","bwood3",1.1878
"DBHHT","CA-AB, CA-BC","PINU.CON","Pinaceae","Pinus","contorta","bbark1",0.0117
